CpGs,Monocytes_EPIC,B-cells_EPIC,CD4T-cells_EPIC,NK-cells_EPIC,CD8T-cells_EPIC,Neutrophils_EPIC,Erythrocyte_progenitors,Adipocytes,Cortical_neurons,Hepatocytes,Lung_cells,Pancreatic_beta_cells,Pancreatic_acinar_cells,Pancreatic_duct_cells,Vascular_endothelial_cells,Colon_epithelial_cells,Left_atrium,Bladder,Breast,Head_and_neck_larynx,Kidney,Prostate,Thyroid,Upper_GI,Uterus_cervix
cg15992563,0.0665,0.1458,0.0923,0.0699,0.0933,0.0697,0.0969,0.0551,0.0582,0.1886,0.1685,0.187525,0.808,0.0908,0.0501,0.0185,0.0523,0.1339,0.1153,0.0852,0.0848,0.0715,0.083,0.1367,0.0743
cg01193690,0.0597,0.0949,0.0775,0.0627,0.072,0.0528,0.0258,0.0434,0.0512,0.0875,0.0768,0.173175,0.5136,0.0645,0.0572,0.04,0.0258,0.1012,0.1457,0.1291,0.0709,0.1057,0.0658,0.1284,0.0814
cg12539796,0.0066,0.033,0.0167,0.0134,0.029,0.0039,0.0098,0.0058,0.011,0.1843,0.0145,0.15645,0.7945,0.0638,0.0503,0.0075,0.0052,0.0119,0.0245,0.0027,0.0059,0.0936,0.0025,0.0159,0.0097
cg09594067,0.0193,0.0188,0.0214,0.0133,0.0197,0.0157,0.002,0.002,0.0102,0.0057,0.011,0.062325,0.2903,0.0343,0.0105,0.0091,9e-04,5e-04,0.0024,0.0148,0.0033,0.001,0.0017,0.0016,0.0036
cg03585419,0.0089,0.0222,0.0106,0.0094,0.0066,0.0108,0.0083,0.0083,0.0087,0.3286,0.0129,0.091225,0.6444,0.0221,0.0154,0.0147,0.0118,0.0131,0.0147,0.0047,0.0115,0.0062,0.016,0.0098,0.0084
cg00153856,0.0098,0.0109,0.0116,0.0111,0.0113,0.0096,0.0036,0.0068,0.0223,0.0126,0.0158,0.112025,0.3328,0.057,0.0118,0.0152,0.0041,0.0083,0.0021,6e-04,0.0027,0.0031,0.004,0.003,0.0034
cg18191418,0.0068,0.0065,0.0066,0.0034,0.0041,0.006,0.0025,0.0038,0.0069,0.0069,0.0042,0.03655,0.1715,0.0114,0.0096,0.0066,0.0083,0.0081,0.0074,0.0038,0.0081,0.0055,0.005,0.0195,0.0077
cg17466946,0.0168,0.014,0.0196,0.014,0.0172,0.0141,0.0063,0.0041,0.0181,0.0243,0.0162,0.035775,0.2905,0.0719,0.0182,0.0136,0.0072,0.0023,0.003,9e-04,0.003,0.0017,0.004,0.0012,0.0044
cg26087598,0.0562,0.0628,0.0583,0.0539,0.0569,0.0595,0.0479,0.0734,0.0734,0.0667,0.0617,0.144,0.3415,0.1052,0.0764,0.0677,0.0628,0.0728,0.0732,0.0727,0.0653,0.071,0.0749,0.0585,0.0774
cg25181507,0.0278,0.0336,0.0312,0.0291,0.0325,0.034,0.011,0.0122,0.062,0.0502,0.0221,0.24345,0.8189,0.1807,0.0432,0.0304,0.014,0.0122,0.0058,0.0024,0.0231,0.0184,0.0106,0.0075,0.0132
cg17976191,0.0151,0.0676,0.1365,0.0149,0.185,0.025,0.0794,0.0804,0.0103,0.0117,0.0074,0.098225,0.7657,0.1225,0.0403,0.0036,0.205,0.0409,0.0352,0.0217,0.1914,0.0162,0.0804,0.0404,0.0206
cg11758861,0.0069,0.0524,0.0754,0.0088,0.0931,0.0091,0.0244,0.0419,0.012,0.0056,0.0169,0.028175,0.5763,0.0352,0.0264,0.0031,0.0942,0.0126,0.0103,0.0042,0.0696,0.0052,0.0193,0.0157,0.006
cg20707679,0.0035,0.0049,0.0034,0.0025,0.0033,0.0039,0.0033,8e-04,0.0029,0.3871,0.0553,0.121775,0.7011,0.0606,0.0093,0.0627,0.0017,7e-04,0.0416,0.0125,0.0047,0.0119,0.0113,0.0032,0.017
cg26026416,0.0309,0.0363,0.0361,0.0238,0.0301,0.0312,0.0234,0.0393,0.0459,0.5369,0.2336,0.228475,0.6883,0.2176,0.0435,0.1329,0.0368,0.047,0.1159,0.0948,0.0464,0.0737,0.1296,0.0601,0.1022
cg03764259,0.0128,0.0513,0.0322,0.016,0.0346,0.0219,0.0175,0.0014,0.1082,0.0128,0.0241,0.120475,0.7882,0.0589,0.0256,0.1997,0.0122,0.0183,0.0345,0.0058,0.0125,0.0663,0.009,0.0318,0.0083
cg14652131,0.0238,0.0875,0.0569,0.0492,0.1249,0.0245,0.0159,0.0156,0.2114,0.0096,0.0255,0.620575,0.8188,0.1499,0.0253,0.0187,0.1123,0.1108,0.0445,0.0509,0.1159,0.1399,0.0407,0.0934,0.0485
cg12024828,0.0085,0.0198,0.0143,0.0185,0.0401,0.0072,0.0103,0.01,0.0624,0.0175,0.0088,0.328825,0.6752,0.0418,0.0175,0.0127,0.0327,0.0261,0.0145,0.0094,0.0318,0.0405,0.0071,0.0284,0.0107
cg14019323,0.0149,0.028,0.0167,0.0154,0.0162,0.0154,0.0057,0.0153,0.0136,0.03,0.0405,0.2599,0.7423,0.0931,0.0274,0.0238,0.0088,0.0586,0.0203,0.0599,0.0135,0.0434,0.0224,0.0565,0.0208
cg01881939,0.0046,0.0062,0.008,0.0068,0.0073,0.006,0.0036,0.005,0.0829,0.0055,0.0107,0.0046,0.1736,0.0243,0.0098,0.0094,3e-04,8e-04,0.0019,8e-04,0.007,0.0014,9e-04,0.0019,0.0061
cg20353496,0.0073,0.0094,0.0086,0.0061,0.0104,0.0136,0.0086,0.0031,0.0092,0.1798,0.0109,0.019375,0.3336,0.067,0.0202,0.0058,0.0066,0,0.004,0.0012,0.0061,0.0027,0.0057,0.0061,0.0053
cg20364050,0.0271,0.0278,0.0261,0.0223,0.0214,0.025,0.0225,0.0464,0.04,0.1963,0.0301,0.096275,0.3539,0.1481,0.0301,0.0238,0.0293,0.0426,0.0347,0.0318,0.0567,0.0275,0.0467,0.0298,0.0349
cg01961447,0.0102,0.0267,0.0153,0.0125,0.0245,0.007,0.0042,1e-04,0.0348,0.0309,0.0187,0.16625,0.6975,0.1042,0.0101,0.0509,0.0096,0.0817,0.0824,0.0288,0.0163,0.0699,0.0102,0.0281,0.0319
cg16616449,0.0197,0.0229,0.0262,0.0171,0.0229,0.0249,0.0164,0.033,0.0393,0.0267,0.0202,0.152425,0.4828,0.0837,0.0342,0.0341,0.0245,0.0291,0.0214,0.0156,0.022,0.0169,0.0226,0.0322,0.016
cg10533277,0.003,0.0036,0.0055,0.0028,0.0047,0.0052,0.0219,0.0246,0.0182,0.0168,0.0035,0.10995,0.3575,0.0361,0.0084,0.0061,0.0282,0.0281,0.0213,0.0088,0.0218,0.0152,0.0208,0.0213,0.0153
cg09044296,0.1065,0.1224,0.1342,0.1218,0.125,0.1144,0.0585,0.0499,0.1035,0.1539,0.0704,0.1555,0.4062,0.1021,0.0833,0.1693,0.113,0.0598,0.0992,0.0253,0.062,0.0342,0.039,0.0493,0.0562
cg10424454,0.0793,0.082,0.0994,0.0918,0.0846,0.1021,0.046,0.0579,0.1236,0.0573,0.0695,0.18005,0.6659,0.1193,0.1136,0.0646,0.0702,0.0391,0.0345,0.0113,0.0293,0.0211,0.0369,0.0264,0.04
cg11633126,0.0122,0.0273,0.0561,0.0356,0.0248,0.0534,0.0451,0.0647,0.1005,0.0185,0.023,0.15425,0.7651,0.0755,0.0686,0.0293,0.0542,0.0122,0.0208,0.0074,0.0188,0.0157,0.0183,0.0152,0.0224
cg11270070,0.0159,0.024,0.0314,0.0802,0.1008,0.0146,0.005,0.0458,0.0302,0.0661,0.0488,0.1187,0.5007,0.1088,0.041,0.0205,0.1329,0.0399,0.0538,0.0203,0.0349,0.0094,0.0106,0.0158,0.0235
cg23208152,0.0057,0.0093,0.0136,0.0365,0.0377,0.0089,0.0056,0.0097,0.0144,0.0427,0.021,0.039425,0.3833,0.0725,0.013,0.0103,0.0709,0.0118,0.0204,0.0087,0.0157,0.0033,0.0032,0.0065,0.0085
cg20289346,0.0187,0.0475,0.0232,0.0204,0.0204,0.0169,0.0085,0.0127,0.0208,0.0124,0.0123,0.21135,0.5056,0.0563,0.0169,0.0146,0.013,0.0077,0.0155,0.016,0.0149,0.0169,0.0169,0.0118,0.0219
cg23684878,0.0117,0.0196,0.0171,0.011,0.0168,0.0114,9e-04,0.0116,0.0074,0.0162,0.0618,0.2677,0.7388,0.1419,0.0084,0.0175,0.003,0.0869,0.031,0.0584,0.0161,0.0475,0.0072,0.056,0.0215
cg11832404,0.08,0.0967,0.096,0.0846,0.097,0.0827,0.0662,0.1058,0.1029,0.123,0.1642,0.32175,0.7113,0.2226,0.0924,0.1065,0.0861,0.1776,0.146,0.1764,0.1217,0.149,0.1226,0.1566,0.1231
cg05804220,0.04,0.1801,0.083,0.0466,0.137,0.0304,0.016,0.0072,0.0269,0.1816,0.011,0.07525,0.5107,0.0346,0.0326,0.0143,0.0164,0.0148,0.0243,0.0106,0.014,0.0289,0.0149,0.034,0.0191
cg10583297,0.011,0.0647,0.0164,0.0148,0.0335,0.0117,0.0056,0.0078,0.0289,0.0787,0.0093,0.072475,0.5047,0.0727,0.0274,0.0183,0.0292,0.0143,0.0161,0.015,0.0119,0.0331,0.0134,0.0328,0.0103
cg10496082,0.0114,0.042,0.0142,0.0104,0.0223,0.0097,0.002,0.001,0.0139,0.0517,0.0075,0.0444,0.4425,0.0255,0.0124,0.0093,0.0126,0.0029,0.0096,0.0035,0.0048,0.0189,0.0054,0.0161,0.0047
cg24505618,0.0539,0.198,0.099,0.0523,0.1536,0.0389,0.0409,0.0359,0.0318,0.1858,0.0179,0.161275,0.4945,0.1054,0.0352,0.019,0.0704,0.0631,0.0739,0.0741,0.0639,0.0865,0.0707,0.1122,0.0819
cg15045802,0.0092,0.0131,0.0168,0.0194,0.0299,0.0098,0.013,0.004,0.0423,0.0147,0.0088,0.126475,0.538,0.0605,0.0144,0.0257,0.0208,0.0143,0.0153,0.0077,0.0072,0.1888,0.0099,0.0125,0.0077
cg02161471,0.0694,0.0775,0.0842,0.0752,0.089,0.072,0.0674,0.0735,0.0952,0.0757,0.071,0.145475,0.2313,0.0784,0.0838,0.0727,0.0834,0.0821,0.0909,0.0887,0.0732,0.1992,0.0812,0.0733,0.09
cg04772683,0.01,0.0536,0.0236,0.0126,0.025,0.0082,0.0032,0.0039,0.0199,0.0083,0.0076,0.097325,0.3968,0.0298,0.0171,0.0176,0.0043,0.0142,0.0097,0.008,0.0071,0.0941,0.0075,0.0209,0.0084
cg01524174,0.002,0.0144,0.0076,0.0069,0.0196,0.003,0.0098,8e-04,0.0046,0.0491,0.1279,0.062475,0.3437,0.0122,0.0147,0.0042,0,0.0084,0.0097,0.0207,0.0457,0.0018,0.0019,0.0044,0.0125
cg15754548,0.0176,0.0198,0.0208,0.017,0.0162,0.0226,0.0086,0.0092,0.0232,0.0342,0.0191,0.20675,0.5224,0.1373,0.0258,0.0313,0.0087,0.0073,0.0044,0.0093,0.0034,0.015,0.0073,0.0054,0.01
cg23045255,0.0205,0.0258,0.0244,0.0188,0.0198,0.0203,0.0141,0.0182,0.0314,0.0199,0.0198,0.111525,0.4433,0.049,0.0274,0.0298,0.0188,0.0118,0.013,0.011,0.0153,0.011,0.0179,0.0149,0.0138
cg13499300,0.0194,0.11,0.0233,0.0155,0.0186,0.0167,0.0041,0.0146,0.0193,0.4752,0.0122,0.298625,0.6455,0.1492,0.0236,0.0183,0.021,0.1038,0.0279,0.0188,0.0253,0.0151,0.0155,0.0193,0.0098
cg23305567,0.01,0.038,0.0106,0.0052,0.0092,0.0067,0.0251,0.0314,0.0142,0.5314,0.0099,0.23,0.7711,0.0686,0.0124,0.0135,0.0514,0.067,0.0349,0.0149,0.0305,0.0309,0.0404,0.0317,0.0455
cg05337743,0.012,0.0294,0.0128,0.0126,0.0119,0.0113,0.0024,0.0077,0.0115,0.3995,0.0133,0.208525,0.7046,0.0582,0.0202,0.0287,0.0098,0.0363,0.0105,0.0041,0.0051,0.0044,0.0024,0.0049,0.0034
cg17225129,0.0082,0.0043,0.0046,0.0035,0.0036,0.0116,0.0073,0.0016,0.0062,0.001,0.0048,0.036075,0.5197,0.0254,0.0042,0.0029,0.0144,0,0.0083,0.0041,0.0534,0.0051,0.0057,0.0042,0.0124
cg26381352,0.0108,0.0107,0.0105,0.0113,0.0126,0.0127,0.0139,0.0058,0.0151,0.0287,0.0067,0.049875,0.5875,0.0287,0.013,0.0114,0.0241,0.0043,0.0148,0.0029,0.0678,0.008,0.0105,0.0122,0.011
cg21387418,0.0089,0.0086,0.011,0.009,0.0092,0.0097,0.0113,0.0032,0.0306,0.152,0.0059,0.1309,0.4825,0.0456,0.0172,0.0124,0.006,0.0048,0.0064,0.0074,0.1262,0.0169,0.0105,0.0045,0.0086
cg27373972,0.0102,0.0105,0.0117,0.0084,0.0101,0.0115,0.0069,0.0133,0.0248,0.1185,0.0156,0.173675,0.5822,0.0611,0.0217,0.0202,0.0138,0.0063,0.0095,0.0052,0.1713,0.0177,0.0113,0.0048,0.0073
cg19156220,0.0241,0.0248,0.0273,0.0234,0.0255,0.0279,0.0215,0.0411,0.0339,0.1451,0.0307,0.130825,0.6242,0.054,0.0118,0.0352,0.0385,0.0325,0.0877,0.0575,0.2622,0.0655,0.0363,0.0631,0.0323
cg06508783,0.0094,0.0136,0.0131,0.009,0.0089,0.0081,0.0023,0.007,0.0158,0.2544,0.0087,0.05185,0.4535,0.0416,0.0068,0.0577,0.0016,0.0017,0.004,0.0283,0.0194,0.0147,0.0055,0.0113,0.0039
cg12046168,0.0071,0.0089,0.0112,0.0105,0.017,0.0264,0.0087,0.0109,0.0138,0.0086,0.0103,0.021525,0.2014,0.0099,0.016,0.0085,0.0118,0.0235,0.0037,0.0079,0.0061,0.0079,0.0053,0.005,0.0062
cg16253840,0.0164,0.016,0.02,0.016,0.0204,0.0205,0.0081,0.0071,0.0142,0.0174,0.0387,0.03895,0.2667,0.0303,0.0218,0.0206,0.0059,0.0035,0.0054,0.0017,0.0043,0.0112,0.0039,0.0088,0.0057
cg27212234,0.0058,0.0177,0.011,0.0046,0.0143,0.0056,0.012,0,0.0037,0.0148,0.0104,0.042775,0.2097,0.028,0.0145,0.0402,0.0033,0.005,0.0118,0.0057,0.0042,0.012,0.0057,0.0059,0.0027
cg17093995,0.0053,0.0264,0.0125,0.0074,0.0268,0.0034,0.004,0.0012,0.0181,0.0082,0.0085,0.026125,0.2979,0.015,0.0059,0.009,0.0057,0.0243,0.0716,0.0034,0.004,0.0749,0.0036,0.0157,0.0214
cg01237565,0.01,0.0144,0.0237,0.0109,0.0191,0.0165,0.0051,0.0066,0.063,0.0105,0.0088,0.33245,0.6177,0.2372,0.0158,0.0125,0.0077,0.0031,0.0037,0.0024,0.0067,0.0041,0.0056,0.0055,0.0091
cg17225129,0.0082,0.0043,0.0046,0.0035,0.0036,0.0116,0.0073,0.0016,0.0062,0.001,0.0048,0.036075,0.5197,0.0254,0.0042,0.0029,0.0144,0,0.0083,0.0041,0.0534,0.0051,0.0057,0.0042,0.0124
cg26381352,0.0108,0.0107,0.0105,0.0113,0.0126,0.0127,0.0139,0.0058,0.0151,0.0287,0.0067,0.049875,0.5875,0.0287,0.013,0.0114,0.0241,0.0043,0.0148,0.0029,0.0678,0.008,0.0105,0.0122,0.011
cg21387418,0.0089,0.0086,0.011,0.009,0.0092,0.0097,0.0113,0.0032,0.0306,0.152,0.0059,0.1309,0.4825,0.0456,0.0172,0.0124,0.006,0.0048,0.0064,0.0074,0.1262,0.0169,0.0105,0.0045,0.0086
cg27373972,0.0102,0.0105,0.0117,0.0084,0.0101,0.0115,0.0069,0.0133,0.0248,0.1185,0.0156,0.173675,0.5822,0.0611,0.0217,0.0202,0.0138,0.0063,0.0095,0.0052,0.1713,0.0177,0.0113,0.0048,0.0073
cg19156220,0.0241,0.0248,0.0273,0.0234,0.0255,0.0279,0.0215,0.0411,0.0339,0.1451,0.0307,0.130825,0.6242,0.054,0.0118,0.0352,0.0385,0.0325,0.0877,0.0575,0.2622,0.0655,0.0363,0.0631,0.0323
cg16427096,0.0048,0.0038,0.0059,0.0079,0.0088,0.0046,0.0059,0.0025,0.0595,0.133,0.0209,0.1812,0.5293,0.0866,0.008,0.0282,0.0038,0.0514,0.0235,0.026,0.0032,0.0106,0.0065,0.0253,0.0088
cg03114585,0.0016,0.0049,0.0104,0.0084,0.0052,0.0051,0.0124,0.0041,0.0022,0.0198,0.0299,0.153225,0.7215,0.2645,0.006,0.0833,0.0168,0.0707,0.0215,0.0126,0.025,0.1103,0.017,0.086,0.0123
cg21789280,0.0557,0.0632,0.0678,0.0542,0.0641,0.059,0.0432,0.0552,0.0715,0.0898,0.0616,0.217025,0.6518,0.2419,0.0557,0.1598,0.062,0.1647,0.0921,0.094,0.0924,0.1662,0.0832,0.1343,0.0834
cg04223671,0.0066,0.0094,0.0183,0.0072,0.0205,0.0045,0.0025,0.0043,0.0176,0.3386,0.0402,0.16375,0.8434,0.1263,0.0113,0.0334,0.0362,0,0.0088,0.0432,0.077,0.0688,0.0588,0.0296,0.0276
cg14248553,0.0521,0.0684,0.0994,0.0706,0.1073,0.0566,0.0362,0.0712,0.0938,0.3485,0.1835,0.251575,0.5458,0.2004,0.0635,0.0926,0.1438,0.0536,0.088,0.1771,0.2424,0.1756,0.2445,0.1121,0.1312
cg25360181,0.0146,0.0366,0.0278,0.0226,0.0371,0.0145,0.0127,0.0139,0.0514,0.0357,0.0058,0.0971,0.5819,0.0239,0.0045,0.1365,0.0285,0.0311,0.0242,0.0155,0.0094,0.051,0.0187,0.0629,0.0231
cg04092762,0.0104,0.0262,0.0127,0.0141,0.0188,0.014,0.0102,0.0079,0.0164,0.0185,0.0144,0.019325,0.2383,0.0149,0.0272,0.0297,0.0188,0.0036,0.0098,0.0022,0.0062,0.0165,0.0039,0.0087,0.0047
cg10424454,0.0793,0.082,0.0994,0.0918,0.0846,0.1021,0.046,0.0579,0.1236,0.0573,0.0695,0.18005,0.6659,0.1193,0.1136,0.0646,0.0702,0.0391,0.0345,0.0113,0.0293,0.0211,0.0369,0.0264,0.04
cg13945107,0.0098,0.0245,0.047,0.0278,0.0304,0.0399,0.0317,0.049,0.1338,0.01,0.0276,0.18575,0.7749,0.0979,0.0374,0.009,0.032,0.0378,0.0242,0.0386,0.0239,0.0491,0.0367,0.0389,0.042
cg14944575,0.0172,0.0232,0.0333,0.0207,0.021,0.0248,0.0047,0.0066,0.0195,0.0273,0.02,0.103225,0.5016,0.0802,0.0452,0.1141,0.0092,0.0627,0.0071,0.0014,0.0026,0.0496,0.0036,0.0018,0.0071
cg07629094,0.045,0.0376,0.0484,0.0388,0.0421,0.0393,0.0279,0.0467,0.0452,0.0426,0.0372,0.106675,0.406,0.0821,0.0503,0.0625,0.0421,0.0695,0.0512,0.0513,0.0432,0.08,0.0432,0.0516,0.0458
cg25868998,0.0067,0.026,0.0186,0.0094,0.0219,0.009,0.0094,0.013,0.0593,0.0302,0.0217,0.068225,0.411,0.0248,0.0142,0.0194,0.0208,0.0217,0.0273,0.0096,0.0176,0.0789,0.0123,0.0224,0.0182
cg09920557,0.0049,0.0047,0.006,0.0063,0.0082,0.0043,0.0037,0.0324,0.077,0.0156,0.014,0.229275,0.7439,0.1013,0.0528,0.009,0.018,0.0376,0.0423,0.0669,0.0805,0.0662,0.0244,0.0684,0.0792
cg25054907,0.0564,0.0627,0.063,0.0602,0.0615,0.06,0.0615,0.1027,0.1371,0.0842,0.0779,0.2771,0.6545,0.1644,0.1536,0.0666,0.0776,0.1152,0.128,0.1393,0.1656,0.1541,0.1055,0.1634,0.1687
cg23525243,0.0344,0.0418,0.0448,0.0369,0.0494,0.0417,0.0271,0.0405,0.0379,0.0225,0.0218,0.133875,0.6834,0.0739,0.043,0.0163,0.0455,0.0208,0.0743,0.029,0.0307,0.0165,0.0289,0.0254,0.0341
cg08873912,0.1218,0.1211,0.1348,0.1166,0.1207,0.1141,0.0694,0.1314,0.1305,0.1432,0.1186,0.21305,0.6926,0.1751,0.1137,0.1074,0.1356,0.0788,0.0853,0.1023,0.0784,0.2097,0.0939,0.1124,0.1018
cg06807966,0.028,0.0297,0.0278,0.0288,0.0292,0.0278,0.0183,0.0337,0.0391,0.0308,0.0328,0.14575,0.715,0.0589,0.0262,0.0376,0.0341,0.0275,0.0372,0.0225,0.03,0.1679,0.0278,0.0436,0.0323
cg24165760,0.0078,0.0195,0.0026,0.0073,0.0071,0.0047,0.0029,0.0138,0.0346,0.0483,0.0178,0.039725,0.3234,0.0131,0.0256,0.0117,0.0344,0.0078,0.0143,0.018,0.0235,0.0101,0.0655,0.0169,0.0168
cg01248080,0.0241,0.0228,0.0254,0.0202,0.0192,0.0243,0.0184,0.0095,0.0418,0.0275,0.019,0.085425,0.4312,0.0592,0.0334,0.0253,0.027,0.01,0.0142,0.002,0.0102,0.0689,0.0113,0.0059,0.0155
cg03989125,0.0166,0.0188,0.0199,0.0201,0.019,0.0175,0.0075,0.0203,0.1506,0.0856,0.0083,0.15145,0.5873,0.0988,0.0274,0.0184,0.0149,0.0105,0.0151,0.0146,0.0195,0.0494,0.0137,0.0158,0.0129
cg02602699,0.0169,0.0206,0.0197,0.0155,0.0168,0.0186,0.008,0.0093,0.0579,0.0163,0.0192,0.0342,0.3025,0.0481,0.029,0.0244,0.0077,0.0074,0.0085,0.007,0.0135,0.0068,0.0069,0.0233,0.0118
cg22219254,0.0224,0.0272,0.0306,0.0194,0.0278,0.0229,0.0091,0.011,0.0262,0.0215,0.016,0.267175,0.4876,0.0514,0.0248,0.0219,0.0159,0.0144,0.0121,0.0117,0.0129,0.0146,0.0126,0.0165,0.0147
cg19664267,0.0084,0.0098,0.0093,0.0091,0.009,0.0076,0.0035,0.0075,0.055,0.3641,0.0078,0.2637,0.7521,0.1121,0.009,0.016,0.0038,0,0.0091,0.0038,0.2207,0.0876,0.0056,9e-04,0.0041
cg15543281,0.0045,0.0071,0.0076,0.0048,0.0072,0.0077,0.006,0.0033,0.0326,0.2878,0.0105,0.22645,0.6999,0.0959,0.0092,0.0098,0.005,0.0072,0.0121,0.0058,0.1893,0.0868,0.0082,0.0019,0.0082
cg06181784,0.0211,0.0216,0.0222,0.0227,0.0205,0.0244,0.0102,0.0137,0.0224,0.0202,0.0198,0.126725,0.4292,0.1044,0.0228,0.0175,0.0259,0.0183,0.0193,0.0104,0.0159,0.0208,0.013,0.0157,0.0176
cg02131967,0.0123,0.025,0.0187,0.0118,0.022,0.0113,0.0102,0.0123,0.0465,0.0245,0.0116,0.2852,0.714,0.1432,0.0276,0.0175,0.0247,0.0265,0.0364,0.0426,0.0395,0.1036,0.0242,0.0653,0.0432
cg13584718,0.0164,0.0181,0.043,0.0102,0.0169,0.0134,0.0119,0.0061,0.0098,0.0443,0.0267,0.109325,0.4879,0.0572,0.0204,0.0849,0.0122,0.0722,0.0169,0.0133,0.01,0.0923,0.0167,0.0108,0.0109
cg19665644,0.0179,0.0409,0.0244,0.0212,0.0255,0.0202,0.0111,0.0116,0.2064,0.0422,0.0186,0.115275,0.5599,0.1401,0.0302,0.0197,0.0153,0.0047,0.0143,0.0077,0.0118,0.0123,0.0401,0.0119,0.0117
cg20918243,0.0658,0.117,0.0833,0.0674,0.0989,0.0658,0.0646,0.0633,0.2609,0.1238,0.0639,0.2158,0.4715,0.1708,0.0687,0.0614,0.0637,0.0667,0.0942,0.0943,0.0815,0.0891,0.1704,0.0755,0.0906
cg09596429,0.0647,0.1216,0.0923,0.07,0.1039,0.0594,0.0725,0.0721,0.3243,0.1897,0.0679,0.29925,0.6149,0.2621,0.093,0.0545,0.0843,0.0768,0.1095,0.1088,0.1047,0.1012,0.2407,0.0872,0.1134
cg25481474,0.0466,0.0525,0.0477,0.0518,0.0549,0.0389,0.0191,0.0436,0.0693,0.0447,0.0627,0.102675,0.4297,0.0415,0.065,0.0724,0.0431,0.0178,0.0225,0.0232,0.0255,0.02,0.0438,0.0239,0.023
cg20754145,0.0302,0.0306,0.0373,0.0351,0.039,0.032,0.0144,0.0464,0.0384,0.0349,0.0511,0.228225,0.6833,0.0728,0.0388,0.0351,0.0327,0.0276,0.0482,0.0318,0.0279,0.0275,0.0512,0.0348,0.0347
cg16616449,0.0197,0.0229,0.0262,0.0171,0.0229,0.0249,0.0164,0.033,0.0393,0.0267,0.0202,0.152425,0.4828,0.0837,0.0342,0.0341,0.0245,0.0291,0.0214,0.0156,0.022,0.0169,0.0226,0.0322,0.016
cg10533277,0.003,0.0036,0.0055,0.0028,0.0047,0.0052,0.0219,0.0246,0.0182,0.0168,0.0035,0.10995,0.3575,0.0361,0.0084,0.0061,0.0282,0.0281,0.0213,0.0088,0.0218,0.0152,0.0208,0.0213,0.0153
cg09044296,0.1065,0.1224,0.1342,0.1218,0.125,0.1144,0.0585,0.0499,0.1035,0.1539,0.0704,0.1555,0.4062,0.1021,0.0833,0.1693,0.113,0.0598,0.0992,0.0253,0.062,0.0342,0.039,0.0493,0.0562
cg14871628,0.012,0.0154,0.0113,0.0141,0.0152,0.0153,0.0139,0.0123,0.0121,0.0165,0.0162,0.013,0.1704,0.0143,0.0176,0.0223,0.0064,0.0024,0.0057,0.0067,0.0061,0.0073,0.0043,0.0054,0.0077
cg04378107,0.0295,0.031,0.0248,0.026,0.0303,0.0276,0.0168,0.0292,0.0474,0.0442,0.0254,0.1357,0.5217,0.0472,0.0426,0.0328,0.0224,0.0273,0.0297,0.0249,0.0239,0.0295,0.0327,0.0297,0.0281
cg04529785,0.01,0.0728,0.0172,0.0089,0.0453,0.0074,0.0016,0.0023,0.0042,0.0244,0.0078,0.0317,0.2544,0.0195,0.0116,0.0646,0.0032,0.0188,0.0077,0.0209,0.0034,0.0026,0.0023,0.0192,0.0031
cg11979743,0.0089,0.0104,0.011,0.0088,0.008,0.0091,0.01,0.0182,0.0199,0.0148,0.0091,0.018025,0.189,0.0096,0.017,0.0117,0.0228,0.0105,0.0091,0.0087,0.0123,0.0095,0.015,0.0153,0.0182
cg17793059,0.0226,0.0227,0.0165,0.0163,0.0172,0.0194,0.0206,0.0288,0.0328,0.0273,0.0427,0.05205,0.3882,0.0627,0.019,0.0197,0.0175,0.0415,0.014,0.0147,0.0234,0.0365,0.0336,0.0186,0.0118
cg16745616,0.095,0.0932,0.0948,0.0946,0.0823,0.0927,0.0763,0.1143,0.1389,0.1015,0.14,0.20955,0.4498,0.1658,0.122,0.1078,0.1471,0.1785,0.1432,0.1405,0.153,0.175,0.1688,0.133,0.1348
cg19664267,0.0084,0.0098,0.0093,0.0091,0.009,0.0076,0.0035,0.0075,0.055,0.3641,0.0078,0.2637,0.7521,0.1121,0.009,0.016,0.0038,0,0.0091,0.0038,0.2207,0.0876,0.0056,9e-04,0.0041
cg15543281,0.0045,0.0071,0.0076,0.0048,0.0072,0.0077,0.006,0.0033,0.0326,0.2878,0.0105,0.22645,0.6999,0.0959,0.0092,0.0098,0.005,0.0072,0.0121,0.0058,0.1893,0.0868,0.0082,0.0019,0.0082
cg27098900,0.0244,0.0233,0.0256,0.0252,0.0312,0.0256,0.0129,0.0107,0.0483,0.2118,0.0243,0.264325,0.7114,0.1141,0.033,0.0341,0.0106,0.0057,0.0124,0.0047,0.2184,0.0249,0.0108,0.0054,0.0083
cg19182353,0.0104,0.0085,0.0046,0.0052,0.0019,0.0057,0.0144,0.0116,0.0219,0.1195,0.0048,0.078425,0.4176,0.0204,0.0134,0.0036,0.0472,0,0.0276,0.0225,0.0814,0.0271,0.1342,0.0089,0.0096
cg02119927,0.0074,0.0089,0.0086,0.0082,0.0108,0.013,0.006,0.0124,0.0194,0.1593,0.0063,0.106375,0.3796,0.0582,0.0164,0.0098,0.0025,0.0145,0.0079,0.0068,0.0723,0.0037,0.0057,0.0088,0.0485
